2019-12-21, 20:26:44.100037, INFO, GET /Team -> http://localhost:8080
2019-12-21, 20:27:00.710759, INFO, GET /Studies -> http://localhost:8080
2019-12-21, 20:27:00.710759, INFO, GET /Countries -> http://localhost:8080
2019-12-21, 20:27:00.714764, INFO, GET /Types -> http://localhost:8080
2019-12-21, 20:27:00.713762400, INFO, GET /Sites -> http://localhost:8080
2019-12-21, 20:27:00.717764800, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 15:15:13.085049, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 15:33:59.668038200, INFO, GET /Team -> http://localhost:8080
2020-01-12, 15:34:00.958272300, INFO, GET /Team -> http://localhost:8080
2020-01-12, 15:34:07.080394400, INFO, GET /Team -> http://localhost:8080
2020-01-12, 15:34:09.915802300, INFO, GET /Team -> http://localhost:8080
2020-01-12, 15:34:11.654958800, INFO, GET /Team -> http://localhost:8080
2020-01-12, 15:34:19.531074400, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 15:34:19.536076700, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 15:34:19.536076700, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 15:34:19.537078300, INFO, GET /Types -> http://localhost:8080
2020-01-12, 15:34:19.537078300, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 16:03:45.911048500, INFO, GET /Team -> http://localhost:8080
2020-01-12, 16:03:48.969359200, INFO, GET /Team -> http://localhost:8080
2020-01-12, 16:03:59.611402500, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 16:03:59.622409500, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 16:03:59.622409500, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 16:03:59.623408900, INFO, GET /Types -> http://localhost:8080
2020-01-12, 16:03:59.622409500, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 17:56:21.372962500, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 17:56:21.372962500, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 17:56:21.373963200, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 17:56:21.373963200, INFO, GET /Types -> http://localhost:8080
2020-01-12, 17:56:21.374963900, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 17:57:39.124242500, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 17:57:39.132248200, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 17:57:39.163270300, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 17:57:39.168273500, INFO, GET /Types -> http://localhost:8080
2020-01-12, 17:57:39.169274200, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 22:19:02.556068200, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 22:19:02.556068200, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 22:19:02.576081600, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 22:19:02.840270700, INFO, GET /Types -> http://localhost:8080
2020-01-12, 22:19:02.863287, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 22:19:09.387530600, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 22:19:09.408545600, INFO, GET /Types -> http://localhost:8080
2020-01-12, 22:19:09.415551, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 22:19:09.416552100, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 22:19:09.418553100, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 22:19:10.489468200, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 22:19:10.785676200, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 22:19:10.786676500, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 22:19:10.808692200, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 22:19:10.808692200, INFO, GET /Types -> http://localhost:8080
2020-01-12, 22:19:14.880063100, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 22:19:14.883065200, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 22:19:14.900077400, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 22:19:14.900077400, INFO, GET /Types -> http://localhost:8080
2020-01-12, 22:19:14.901078100, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 22:19:20.467443500, INFO, GET /Susars -> http://localhost:8080
2020-01-12, 22:19:20.779532100, INFO, GET /Types -> http://localhost:8080
2020-01-12, 22:19:20.779532100, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 22:19:20.779532100, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 22:19:20.779532100, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 22:19:26.172026700, INFO, GET /Team -> http://localhost:8080
2020-01-12, 22:19:31.149425100, INFO, GET /Countries -> http://localhost:8080
2020-01-12, 22:19:31.149425100, INFO, GET /Studies -> http://localhost:8080
2020-01-12, 22:19:31.448604900, INFO, GET /Sites -> http://localhost:8080
2020-01-12, 22:19:31.456609300, INFO, GET /Types -> http://localhost:8080
